S000004080	P39102
S000004952	P25294
S000004391	P35817
S000002228	Q07442
S000000285	P35177
S000000821	P40015
S000000307	P38262
S000003181	Q02793
S000003715	P46988
S000001899	P43587
S000004847	Q04740
S000000671	P17261
S000000508	P25565
S000003098	Q01159
S000006189	P32383
S000004698	P46680
S000005169	P53865
S000000853	P40034
S000004614	Q03690
S000003321	P53253
S000001736	P36123
S000003634	P40856
S000001936	P43612
S000003198	P53036
S000001300	P06102
S000006276	Q12514
S000005364	P22579
S000005957	P19657
S000002447	P13587
S000002446	Q01896
S000002976	P05030
S000002445	Q12691
S000003858	P47138
S000001443	P40564
S000003426	P42826
S000004191	Q05779
S000005896	P48589
S000002641	Q04947
S000002363	Q12443
S000003443	P53303
S000000900	P39967
S000000163	P38187
S000004539	P38911
S000004441	Q06205
S000005079	P20081
S000005791	P48606
S000002100	P48836
S000006377	P52917
S000000849	P39955
S000000768	P32621
S000000807	P40009
S000000099	P04912
S000002633	P04911
S000005854	P33328
S000000028	P31109
S000003121	P53112
S000005415	Q12161
S000003148	P53104
S000004834	Q04991
S000000598	P08679
S000005284	P00890
S000006205	P43635
S000004468	P36533
S000004258	P22214
S000004311	P41697
S000000974	P32639
S000004093	Q08032
S000006026	Q02875
S000000376	P32909
S000004553	Q04511
S000004664	P50110
S000004153	P10507
S000000141	P07256
S000005939	Q02732
S000002298	Q12334
S000005995	P40328
S000001121	P32361
S000005251	P21965
S000004647	Q04213
S000002856	Q02336
S000002800	P06844
S000004564	P11747
S000005706	Q08558
S000004274	Q05871
S000004106	Q12186
S000002840	Q01560
S000002583	P32494
S000000402	P38129
S000004901	P49955
S000003111	P30775
S000003548	P47076
S000001060	P04076
S000001100	P38782
S000002640	P09950
S000003665	P12685
S000004108	Q12354
S000000825	P32263
S000028512	Q3E833
S000003503	P53327
S000002191	Q12093
S000006244	Q12199
S000001565	P36080
S000007245	Q3E731
S000001306	P40529
S000000100	P35194
S000000907	P40064
S000000175	P38181
S000006162	P46670
S000001476	P40581
S000000448	P38143
S000001509	P36014
S000006157	Q12003
S000006225	Q12482
S000001136	P32465
S000003011	P07273
S000000103	P32790
S000005016	P53942
S000004205	Q05791
S000004763	Q03792
S000002837	Q04067
S000006099	Q08920
S000004182	Q05775
S000003464	P50086
S000003465	P17442
S000002450	Q03125
S000000270	P38082
S000003878	P47154
S000004046	P32353
S000005641	Q99394
S000002224	P21954
S000004164	P41939
S000004954	P53982
S000001356	P40495
S000000176	P33893
S000000109	P32785
S000005302	P53629
S000000644	P25628
S000003543	P46962
S000004418	Q06417
S000002272	Q07530
S000005954	Q03085
S000007588	Q3E7B7
S000002817	Q04195
S000005682	Q12216
S000001013	P23180
S000000975	P32641
S000001499	P30902
S000006224	Q12233
S000000976	P32642
S000002505	Q03835
S000001094	P38779
S000001768	P36144
S000000431	P38323
S000006365	P23293
S000005224	P32462
S000002980	P25340
S000002675	Q05583
S000005578	Q08422
S000006131	P38688
S000003215	P53063
S000002778	Q06349
S000004802	P35187
S000006074	P22216
S000113587	Q2V2P5
S000003975	P0CD90
S000003617	P80428
S000006238	Q12406
S000001587	P14742
S000004690	P0CF18
S000004689	A2P2R3
S000005900	P32336
S000000421	P38316
S000004861	Q04781
S000005686	Q99189
S000002984	P32767
S000001140	P38810
S000004994	P53953
S000001371	P40482
S000004231	Q06538
S000005444	Q12252
S000004879	Q03516
S000002738	Q06682
S000000132	P38197
S000000259	P19735
S000005353	P53756
S000001275	P40550
S000002418	P32568
S000005679	P33302
S000005979	Q02785
S000005537	Q08409
S000002814	Q04182
S000005855	P51533
S000000604	P25371
S000002636	P39081
S000001391	P40468
S000005952	P17157
S000000133	P38065
S000002354	P38968
S000003384	P13856
S000006323	P24869
S000002314	P24870
S000003340	P24868
S000004200	P24871
S000003341	P32943
S000006324	P30283
S000000038	P13365
S000005207	P53845
S000000277	P38086
S000003131	P32863
S000005195	P53617
S000001375	P40479
S000004998	P38590
S000000480	P38148
S000002349	P54860
S000004376	Q06706
S000001744	P36130
S000003648	P47025
S000004083	Q12255
S000005387	Q08179
S000006329	Q06493
S000002320	Q12518
S000004196	Q05785
S000003886	P47160
S000003961	Q07872
S000002833	Q04053
S000002271	Q07528
S000002245	Q07508
S000000148	P34218
S000005770	Q08649
S000004734	P40963
S000001603	P32332
S000004340	Q06143
S000002985	P16639
S000007228	Q6Q595
S000000922	P40075
S000005441	P19158
S000001206	P38858
S000003480	P53315
S000005317	P50278
S000000718	P37262
S000001692	P12866
S000001927	P38989
S000001214	P38862
S000001153	P38820
S000006251	P08425
S000001725	P36113
S000002495	Q02775
S000000784	P38628
S000001199	P38852
S000002721	Q06651
S000001915	P34756
S000001648	P36051
S000002622	Q12449
S000005225	P53834
S000000223	P04397
S000002702	Q05567
S000004862	Q04792
S000005435	Q08234
S000000928	P40078
S000005185	P11412
S000003823	P40354
S000005463	P30606
S000002795	Q04162
S000002905	P30605
S000000767	P32622
S000003810	P21373
S000006109	Q06892
S000000198	P38166
S000003475	P53311
S000001205	P38857
S000001372	P40481
S000005566	Q12320
S000002680	Q05584
S000005868	P10964
S000005051	P53930
S000006050	P35189
S000004397	Q06063
S000000870	P34909
S000004063	Q08003
S000005637	Q99210
S000000233	P38221
S000004263	Q06216
S000006235	Q12311
S000000461	P38336
S000000484	P38352
S000005990	Q12051
S000000373	P32590
S000006027	P32589
S000003332	P53258
S000003783	P47093
S000000831	P40018
S000001441	P40562
S000000359	P33313
S000005489	Q12016
S000005105	P53894
S000003361	P53277
S000006147	Q08972
S000005689	Q99321
S000002705	P38992
S000003292	P53045
S000003895	P47166
S000005073	P53915
S000004816	P23644
S000006075	P07267
S000004110	P32329
S000004111	Q12303
S000001478	P40583
S000002551	P53379
S000001277	P12630
S000002832	Q02647
S000007270	P00163
S000007273	P03879
S000007272	Q9ZZW7
S000007271	P03873
S000002327	P32771
S000000702	P25377
S000002236	P32419
S000001506	P36103
S000000058	P39708
S000005902	P07262
S000002374	P33327
S000005762	P07807
S000001305	P38626
S000004594	Q12746
S000004552	Q04516
S000001633	P36060
S000007260	P00401
S000007263	P03877
S000007264	P03878
S000007265	Q9ZZX1
S000007281	Q6XAN7
S000007281	P00410
S000007283	P00420
S000004662	P38993
S000001853	P43561
S000002914	Q04399
S000003624	P05150
S000004199	Q05788
S000004017	P23542
S000001589	Q01802
S000004086	P13186
S000006310	Q06098
S000000605	P00560
S000001507	P15700
S000005085	P53909
S000007268	P00854
S000007268	Q7GHJ9
S000005419	P22768
S000001298	P40535
S000002356	P32448
S000000313	P06787
S000005469	Q08245
S000006097	Q08919
S000003887	P47161
S000000490	P37302
S000002823	Q04033
S000005782	Q08693
S000001477	P40582
S000004540	P12683
S000004442	P12684
S000002664	P15202
S000003320	P06115
S000000607	P25615
S000001050	P00447
S000005291	P40345
S000004430	P07991
S000005341	P50277
S000005500	P18544
S000001097	P0CX81
S000005600	P06785
S000003539	P41543
S000004757	Q02795
S000006032	P00812
S000001081	P38694
S000004590	Q00582
S000000289	P18238
S000004660	P04710
S000001360	P40491
S000001105	P38787
S000000412	P32528
S000003030	P11154
S000000422	P32327
S000002889	P11491
S000003767	P20459
S000002239	P05318
S000002288	P10622
S000005399	P05319
S000002790	P02400
S000004332	P05317
S000000735	P03069
S000002309	P25441
S000002209	P33399
S000007274	P61829
S000004832	Q03661
S000003074	P53141
S000002454	P32347
S000000364	P00546
S000001622	Q03957
S000003882	P00830
S000003486	P00924
S000001217	P00925
S000006202	P0CX11
S000004942	P42222
S000005920	P0CX10
S000006364	P06738
S000000400	P12709
S000005023	P17536
S000001400	P40414
S000005347	P53750
S000003269	P31787
S000004360	Q05930
S000002488	P32896
S000000548	P17967
S000002926	P32474
S000001267	P40557
S000006048	P53551
S000005648	P07274
S000001635	P00950
S000002179	Q12008
S000005417	Q12326
S000004484	P49435
S000002849	P36973
S000001062	P38708
S000004798	P15108
S000000222	P08431
S000001929	P00127
S000006183	P08417
S000004560	P06838
S000000905	P22202
S000000004	P10591
S000000171	P09435
S000003947	P10592
S000003571	P16474
S000005153	P40150
S000002388	P11484
S000005034	P06781
S000001380	Q00245
S000003472	P16861
S000004818	P16862
S000002700	P32916
S000003356	P49090
S000006349	P49089
S000002364	P28789
S000005591	Q4KPK3
S000005591	P07143
S000001448	P40567
S000000323	P32605
S000001323	Q00916
S000002855	P14127
S000004486	P02407
S000004038	P46654
S000003446	P32905
S000000996	P32902
S000006016	Q02891
S000004823	Q03649
S000000381	P38295
S000003452	P31334
S000001422	P27796
S000004573	P29478
S000004289	Q05900
S000003399	P17891
S000006120	Q08954
S000004195	P32339
S000001876	P09624
S000005938	Q02733
S000006134	Q08963
S000005046	P13382
S000003860	P35127
S000005182	P13134
S000004990	Q10740
S000004141	Q12524
S000005372	Q12692
S000003723	P32944
S000004143	P52910
S000000050	Q01574
S000000426	P38137
S000003419	P48362
S000005969	P29547
S000001410	P0CH08
S000001802	P0CH09
S000000458	P38334
S000006173	Q12184
S000000943	P40086
S000001807	P22035
S000000253	P21538
S000002433	Q12457
S000000150	P34219
S000003155	P04037
S000000343	P38109
S000004912	P00729
S000003171	P09620
S000001295	P07278
S000005804	P06174
S000003604	P40363
S000004249	P19882
S000000248	P38228
S000001556	P36016
S000001106	P38788
S000000830	P39943
S000000445	P38142
S000003072	P53142
S000002404	P54854
S000000795	P39924
S000005355	P53631
S000000747	P03962
S000004884	P30402
S000004574	P13298
S000000425	P32473
S000005405	Q08217
S000000015	P31374
S000005366	P04786
S000005032	P06786
S000005471	Q12285
S000001176	P38838
S000003436	P07245
S000000288	P09440
S000001788	Q02046
S000006283	Q06815
S000000349	P38113
S000001910	P27466
S000004238	P38623
S000004646	P11746
S000004645	P07249
S000005422	Q12265
S000003482	P53316
S000000292	P15873
S000003159	P32799
S000006237	P07263
S000004424	P50095
S000004520	P50094
S000001259	P38697
S000001902	P43590
S000000880	P40051
S000004712	Q04437
S000004483	P12887
S000001373	P00425
S000004997	P00424
S000001201	P38853
S000001539	P35691
S000003008	P05373
S000004178	P33310
S000002536	P32599
S000006208	Q12480
S000004248	P27472
S000001911	P23337
S000003237	P41896
S000001578	P28320
S000002629	Q04924
S000003703	P08524
S000002282	Q07551
S000000036	P00549
S000005874	P52489
S000006326	P40851
S000004028	Q01519
S000003941	P04802
S000002937	P00128
S000001174	P38836
S000006239	P32288
